Schema,Name,Type,Owner,Persistence,Access method,Size,Description
main,users,table,sqlite,permanent,heap,16 kB,
main,users_id_seq,sequence,sqlite,permanent,,8192 bytes,
main,customers,table,sqlite,permanent,heap,16 kB,
main,customers_cust_id_seq,sequence,sqlite,permanent,,8192 bytes,
main,customerlog,table,sqlite,permanent,heap,16 kB,
main,customerlog_log_id_seq,sequence,sqlite,permanent,,8192 bytes,
main,accounts,table,sqlite,permanent,heap,16 kB,
main,accounts_acc_id_seq,sequence,sqlite,permanent,,8192 bytes,
main,transactions,table,sqlite,permanent,heap,16 kB,
main,transactions_trans_id_seq,sequence,sqlite,permanent,,8192 bytes,
